datetime,from_stop,to_stop,riders,total_km,order_type,station_from,station_to
2023-02-07,University of Cyberjaya (UoC)(11829),Gem In Mall(11800),1,2.54,on-demand,11829,11800
2023-02-02,Park & Ride Putrajaya Sentral (Cyberjaya(12224),Lakefront Homes(11849),1,8.82,on-demand,12224,11849
2023-02-16,"CUCMS Bus Stop, Persiaran Teknokrat 3(11879)",Prima Avenue 1 Bus Stop(11818),1,1.52,on-demand,11879,11818
2023-02-09,"Kompleks TM Bus Stop, Persiaran Sepang(11881)",Putrajaya Central (Cyberjaya)(11798),1,6.64,on-demand,11881,11798
2023-02-03,Cyberia Gate 2(11858),Neo Cyber(11817),1,2.64,on-demand,11858,11817
2023-02-01,University of Cyberjaya (UoC)(11829),D'Pulze Cyberjaya Bus Stop(11806),1,2.72,on-demand,11829,11806
2023-02-19,Padi House Cafeteria and Deli Cafe(11826),D'Pulze Cyberjaya Bus Stop(11806),1,2.36,on-demand,11826,11806
2023-02-20,Shaftsbusry Square Bus Stop(11808),Gem In Mall(11800),1,3.66,on-demand,11808,11800
2023-02-17,Putrajaya Central (Cyberjaya)(11798),Shaftsbusry Square Bus Stop(11808),1,6.26,on-demand,11798,11808
2023-02-28,The Arc Cyberjaya (Bus Stop)(11855),Lim Kok Weng University (Barat) Bus Stop(11831),3,5.11,on-demand,11855,11831
2023-02-26,Putrajaya Central (Cyberjaya)(11798),Shaftsbusry Square Bus Stop(11808),1,6.26,on-demand,11798,11808
2023-02-28,Putrajaya Central (Cyberjaya)(11798),Shaftsbusry Square Bus Stop(11808),1,6.26,on-demand,11798,11808
2023-02-24,Cyberia Smart Homes Guard House Gate A(11857),Masjid Fisabillah Bus Stop(11812),1,2.16,on-demand,11857,11812
2023-02-26,Cyber Heights Villa(11871),Gem In Mall(11800),1,4.77,on-demand,11871,11800
2023-02-02,MPSEPANG(11886),D'Pulze Cyberjaya Bus Stop(11806),2,2.12,on-demand,11886,11806
2023-02-03,The Arc Cyberjaya (Bus Stop)(11855),Putrajaya Central (Cyberjaya)(11798),1,8.07,advanced booking,11855,11798
2023-02-05,Putrajaya Central (Cyberjaya)(11798),Shaftsbusry Square Bus Stop(11808),3,6.26,on-demand,11798,11808
2023-02-15,"MMU Bus Stop, Persiaran Multimedia(11827)",Putrajaya Central (Cyberjaya)(11798),1,7.15,on-demand,11827,11798
2023-02-03,CBD Perdana 1 (Saba Restaurant)(11819),Cyberjaya Smart School Complex(Bus Stop)(11870),1,1.78,on-demand,11819,11870
2023-02-06,D'Pulze Cyberjaya Bus Stop(11806),Putrajaya Central (Cyberjaya)(11798),1,6.62,on-demand,11806,11798
2023-02-28,Cyberjaya Smart School Complex(Bus Stop)(11870),"SP 52 UNIMY Bus Stop, Persiaran Apec(11883)",2,2.39,on-demand,11870,11883
2023-02-24,"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",SP 43 Perdana Lakeview West (Bus Stop) (11872),1,2.75,on-demand,11821,11872
2023-02-15,Gem In Mall(11800),Cyberia Gate 2(11858),1,0.87,on-demand,11800,11858
2023-02-01,"Surau Al-Hidayah (Bus Stop), MMU(11828)",Wisma Shell Bus Stop(12192),1,1.93,on-demand,11828,12192
2023-02-14,Tamarind Square Bus Stop(11807),Cottage Walk Bus Stop(11822),1,2.89,on-demand,11807,11822
2023-02-21,Putrajaya Central (Cyberjaya)(11798),Shaftsbusry Square Bus Stop(11808),2,6.26,on-demand,11798,11808
2023-02-16,SP 40 Perdana Lakeview West (Bus Stop)(11873),Kenwingston Square Garden (Main Lobby)(11804),3,0.0,on-demand,11873,11804
2023-02-03,D'Pulze Cyberjaya Bus Stop(11806),The Arc Cyberjaya (Bus Stop)(11855),1,2.31,on-demand,11806,11855
2023-02-02,Lim Kok Weng University (Barat) Bus Stop(11831),LakeFront Residence (Entrance)(11850),1,0.0,advanced booking,11831,11850
2023-02-22,The Arc Cyberjaya (Bus Stop)(11855),UNIKOP(12216),3,3.55,on-demand,11855,12216
